grid_id,class,percent_Q12024,percent_Q22024,change_pct
31,2,0.0,0.0,0.0
31,3,0.0,0.0,0.0
31,4,0.0,0.0,0.0
31,5,63.0,81.0,18.0
31,6,0.0,0.0,0.0
31,7,0.0,0.0,0.0
31,8,0.0,0.0,0.0
32,0,0.0,0.0,0.0
32,1,53.0,2.0,-51.0
32,2,0.0,0.0,0.0
32,3,0.0,0.0,0.0
32,4,0.0,0.0,0.0
32,5,47.0,98.0,51.0
32,6,0.0,0.0,0.0
32,7,0.0,0.0,0.0
32,8,0.0,0.0,0.0
33,0,0.0,0.0,0.0
33,1,51.0,0.0,-51.0
33,2,0.0,0.0,0.0
33,3,0.0,0.0,0.0
33,4,0.0,0.0,0.0
33,5,49.0,100.0,51.0
33,6,0.0,0.0,0.0
33,7,0.0,0.0,0.0
33,8,0.0,0.0,0.0
34,0,0.0,0.0,0.0
34,1,53.0,0.0,-53.0
34,2,0.0,0.0,0.0
34,3,0.0,0.0,0.0
34,4,0.0,0.0,0.0
34,5,47.0,100.0,53.0
34,6,0.0,0.0,0.0
34,7,0.0,0.0,0.0
34,8,0.0,0.0,0.0
35,0,0.0,0.0,0.0
35,1,52.04081632653062,8.16326530612245,-43.87755102040817
35,2,0.0,0.0,0.0
35,3,0.0,0.0,0.0
35,4,0.0,0.0,0.0
35,5,47.95918367346938,91.83673469387756,43.87755102040818
35,6,0.0,0.0,0.0
35,7,0.0,0.0,0.0
35,8,0.0,0.0,0.0
36,0,0.0,0.0,0.0
36,1,100.0,100.0,0.0
36,2,0.0,0.0,0.0
36,3,0.0,0.0,0.0
36,4,0.0,0.0,0.0
36,5,0.0,0.0,0.0
36,6,0.0,0.0,0.0
36,7,0.0,0.0,0.0
36,8,0.0,0.0,0.0
37,0,0.0,0.0,0.0
37,1,46.835443037974684,59.49367088607595,12.658227848101262
37,2,0.0,0.0,0.0
37,3,0.0,0.0,0.0
37,4,8.860759493670885,0.0,-8.860759493670885
37,5,44.303797468354425,40.50632911392405,-3.7974683544303716
37,6,0.0,0.0,0.0
37,7,0.0,0.0,0.0
37,8,0.0,0.0,0.0
38,0,0.0,0.0,0.0
38,1,18.0,10.0,-8.0
38,2,0.0,0.0,0.0
38,3,0.0,0.0,0.0
38,4,0.0,0.0,0.0
38,5,82.0,90.0,8.0
38,6,0.0,0.0,0.0
38,7,0.0,0.0,0.0
38,8,0.0,0.0,0.0
39,0,0.0,0.0,0.0
39,1,6.0,0.0,-6.0
39,2,0.0,0.0,0.0
39,3,0.0,0.0,0.0
39,4,0.0,0.0,0.0
39,5,94.0,100.0,6.0
39,6,0.0,0.0,0.0
39,7,0.0,0.0,0.0
39,8,0.0,0.0,0.0
40,0,0.0,0.0,0.0
40,1,68.0,9.0,-59.0
40,2,0.0,0.0,0.0
40,3,0.0,0.0,0.0
40,4,0.0,0.0,0.0
40,5,32.0,91.0,59.0
40,6,0.0,0.0,0.0
40,7,0.0,0.0,0.0
40,8,0.0,0.0,0.0
41,0,0.0,0.0,0.0
41,1,100.0,62.0,-38.0
41,2,0.0,0.0,0.0
41,3,0.0,0.0,0.0
41,4,0.0,0.0,0.0
41,5,0.0,38.0,38.0
41,6,0.0,0.0,0.0
41,7,0.0,0.0,0.0
41,8,0.0,0.0,0.0
42,0,0.0,0.0,0.0
42,1,70.83333333333334,12.5,-58.33333333333334
42,2,0.0,0.0,0.0
42,3,0.0,0.0,0.0
42,4,0.0,0.0,0.0
42,5,29.166666666666668,87.5,58.33333333333333
42,6,0.0,0.0,0.0
42,7,0.0,0.0,0.0
42,8,0.0,0.0,0.0
43,0,0.0,0.0,0.0
43,1,100.0,40.0,-60.0
43,2,0.0,0.0,0.0
43,3,0.0,0.0,0.0
43,4,0.0,0.0,0.0
43,5,0.0,60.0,60.0
43,6,0.0,0.0,0.0
43,7,0.0,0.0,0.0
43,8,0.0,0.0,0.0
44,0,0.0,0.0,0.0
44,1,84.61538461538461,87.6923076923077,3.07692307692308
44,2,0.0,0.0,0.0
44,3,0.0,0.0,0.0
44,4,0.0,0.0,0.0
44,5,15.384615384615385,12.307692307692308,-3.0769230769230766
44,6,0.0,0.0,0.0
44,7,0.0,0.0,0.0
44,8,0.0,0.0,0.0
45,0,0.0,0.0,0.0
45,1,89.0,59.0,-30.0
45,2,2.0,0.0,-2.0
45,3,0.0,0.0,0.0
45,4,0.0,0.0,0.0
45,5,9.0,41.0,32.0
